var,state,year,value,industry_full,industry_code,industry_group
Other crop production,base,2033,97.1485,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2034,98.589,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2035,100.0221,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2036,101.4498,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2037,102.8738,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2038,104.2978,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2039,105.7227,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2040,107.1494,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2041,108.5785,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2042,110.0108,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2043,111.4468,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2044,112.88720000000001,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2045,114.3328,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2046,115.7844,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2047,117.243,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2048,118.7098,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2049,120.1864,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2050,121.674,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2017,2.5178,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2018,2.5114,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2019,2.5612,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2020,2.5649,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2021,2.5556,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2022,2.6231,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2023,2.5547,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2024,2.5711,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2025,2.6542,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2026,2.6941,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2027,2.745,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2028,2.7936,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2029,2.8419,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2030,2.8897,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2031,2.9371,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2032,2.9844,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2033,3.0314,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2034,3.0784,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2035,3.1252,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2036,3.1721,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2037,3.219,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2038,3.266,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2039,3.3132,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2040,3.3606,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2041,3.4083,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2042,3.4561,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2043,3.5043,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2044,3.5527,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2045,3.6014,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2046,3.6505,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2047,3.6999,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2048,3.7498,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2049,3.8001,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2050,3.851,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
