var,state,year,value,occupation_full,occupation_code,occupation_group
"Chief Executives, General Managers and Legislators",base,2048,182.795,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,182.795,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,185.2339,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,185.2339,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,185.2339,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,187.6868,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,187.6868,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,187.6868,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
Farmers and Farm Managers,base,2017,170.7986,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,170.7986,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,170.7986,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,170.7986,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,173.1195,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,173.1195,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,173.1195,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,173.1195,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,173.3391,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,173.3391,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,173.3391,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,173.3391,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,178.8048,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,178.8048,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,178.8048,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,178.8048,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,164.16,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,164.16,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,164.16,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,164.16,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,166.3516,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,166.3516,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,166.3516,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,166.3516,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,168.911,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,168.911,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,168.911,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,168.911,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2024,173.0954,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2024,173.0954,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2024,173.0954,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2024,173.0954,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2025,175.0382,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2025,175.0382,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2025,175.0382,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2025,175.0382,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2026,179.4885,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2026,179.4885,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2026,179.4885,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2026,179.4885,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2027,183.1321,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2027,183.1321,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2027,183.1321,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2027,183.1321,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2028,186.7805,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2028,186.7805,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2028,186.7805,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2028,186.7805,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2029,190.3621,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2029,190.3621,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2029,190.3621,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2029,190.3621,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2030,193.8861,O121 Farmers and Farm Managers,O121,O1 MANAGERS
