state,year,value,var,industry_group
base,2037,34.8512,LNG production,Sector 2 - Mining (B)
base,2038,35.2924,LNG production,Sector 2 - Mining (B)
base,2039,35.7459,LNG production,Sector 2 - Mining (B)
base,2040,36.2121,LNG production,Sector 2 - Mining (B)
base,2041,36.691,LNG production,Sector 2 - Mining (B)
base,2042,37.1832,LNG production,Sector 2 - Mining (B)
base,2043,37.6887,LNG production,Sector 2 - Mining (B)
base,2044,38.208,LNG production,Sector 2 - Mining (B)
base,2045,38.7413,LNG production,Sector 2 - Mining (B)
base,2046,39.2891,LNG production,Sector 2 - Mining (B)
base,2047,39.8518,LNG production,Sector 2 - Mining (B)
base,2048,40.4297,LNG production,Sector 2 - Mining (B)
base,2049,41.0234,LNG production,Sector 2 - Mining (B)
base,2050,41.6333,LNG production,Sector 2 - Mining (B)
base,2051,42.2599,LNG production,Sector 2 - Mining (B)
base,2031,67.0613,Iron ore mining,Sector 2 - Mining (B)
base,2032,68.3901,Iron ore mining,Sector 2 - Mining (B)
base,2033,69.7556,Iron ore mining,Sector 2 - Mining (B)
base,2034,71.1588,Iron ore mining,Sector 2 - Mining (B)
base,2035,72.601,Iron ore mining,Sector 2 - Mining (B)
base,2036,74.0835,Iron ore mining,Sector 2 - Mining (B)
base,2037,75.6074,Iron ore mining,Sector 2 - Mining (B)
base,2038,77.1743,Iron ore mining,Sector 2 - Mining (B)
base,2039,78.7859,Iron ore mining,Sector 2 - Mining (B)
base,2040,80.4436,Iron ore mining,Sector 2 - Mining (B)
base,2041,82.149,Iron ore mining,Sector 2 - Mining (B)
base,2042,83.9037,Iron ore mining,Sector 2 - Mining (B)
base,2043,85.7096,Iron ore mining,Sector 2 - Mining (B)
base,2044,87.5685,Iron ore mining,Sector 2 - Mining (B)
base,2045,89.4823,Iron ore mining,Sector 2 - Mining (B)
base,2046,91.4532,Iron ore mining,Sector 2 - Mining (B)
base,2047,93.4835,Iron ore mining,Sector 2 - Mining (B)
base,2048,95.5754,Iron ore mining,Sector 2 - Mining (B)
base,2049,97.7316,Iron ore mining,Sector 2 - Mining (B)
base,2050,99.9547,Iron ore mining,Sector 2 - Mining (B)
base,2051,102.2476,Iron ore mining,Sector 2 - Mining (B)
base,2031,64.6963,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2032,66.4581,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2033,68.2388,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2034,70.0378,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2035,71.8549,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2036,73.6898,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2037,75.5422,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2038,77.4141,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2039,79.305,Non ferrous metal ore mining,Sector 2 - Mining (B)
base,2040,81.2146,Non ferrous metal ore mining,Sector 2 - Mining (B)
