var_code,var,year,sa4_code_2016,sa4_name_2016,base,zero,state2023,diff
6 HunterValNSW,Hunter valley (ex Newcastle),2030,106,Hunter Valley exc Newcastle,160.4663,146.2102,142.8814,3.3287999999999727
7 IllawarraNSW,Illawarra,2030,107,Illawarra,178.0393,178.0668,156.4621,21.60470000000001
8 MidNthCstNSW,Mid-north coast,2030,108,Mid North Coast,83.7472,85.4714,73.4239,12.0475
9 MurrayNSW,Murray,2030,109,Murray,69.0917,69.3882,60.7457,8.642499999999998
10 NewEnglNWNSW,New England and North West,2030,110,New England and North West,98.9763,98.4988,87.2905,11.208300000000008
11 NwcstlLkMNSW,Newcastle and Lake Macquarie,2030,111,Newcastle and Lake Macquarie,217.639,209.8354,195.8533,13.982100000000003
12 RichTweedNSW,Richmond-Tweed,2030,112,Richmond - Tweed,117.784,118.9437,104.0552,14.888500000000008
13 RiverinaNSW,Riverina,2030,113,Riverina,100.5273,102.4055,88.5985,13.807000000000002
14 SthHiShlhNSW,Southern Highlands,2030,114,Southern Highlands and Shoalhaven,66.7467,64.4995,58.9476,5.551899999999996
15 BlhHilHwkNSW,Sydney - Baulkham hills,2030,115,Sydney - Baulkham Hills and Hawkesbury,160.4962,163.451,139.164,24.287000000000006
16 Blacktwn4NSW,Sydney - Blacktown,2030,116,Sydney - Blacktown,205.2625,207.2035,182.0399,25.163600000000002
17 CityInSthNSW,Sydney - City and Inner South,2030,117,Sydney - City and Inner South,286.0793,286.4,246.4975,39.902499999999975
18 EastSubNtNSW,Sydney - Eastern Suburbs,2030,118,Sydney - Eastern Suburbs,211.4492,213.7977,183.5483,30.24939999999998
19 InnrSWSydNSW,Sydney - Inner South West,2030,119,Sydney - Inner South West,330.6954,330.1699,290.5585,39.6114
20 InrWstSydNSW,Sydney - Inner West,2030,120,Sydney - Inner West,221.3882,223.6169,192.6536,30.963299999999975
21 NSydHrnsbNSW,Sydney - North Sydney and Hornsby,2030,121,Sydney - North Sydney and Hornsby,315.6658,319.8798,272.3362,47.54359999999997
22 NBeachSydNSW,Sydney - Northern Beaches,2030,122,Sydney - Northern Beaches,178.8913,180.9177,152.0747,28.84299999999999
23 OtrSWSydNSW,Sydney - Outer South West,2030,123,Sydney - Outer South West,162.4969,163.3255,143.795,19.530500000000018
24 OtWSyBluMNSW,Sydney - Outer West,2030,124,Sydney - Outer West and Blue Mountains,194.0781,196.5536,172.2049,24.34869999999998
25 ParramattNSW,Sydney - Parramatta,2030,125,Sydney - Parramatta,253.835,256.2249,221.4571,34.767799999999994
26 RydeNSW,Sydney - Ryde,2030,126,Sydney - Ryde,127.1663,128.8941,110.5738,18.320300000000003
27 SWSydNSW,Sydney - South West,2030,127,Sydney - South West,201.0151,202.7633,175.9664,26.796899999999994
28 SutherlndNSW,Sydney - Sutherland,2030,128,Sydney - Sutherland,155.46,156.3023,137.9718,18.3305
29 Ballarat4Vic,Ballarat,2030,201,Ballarat,100.1938,103.8411,87.9084,15.932699999999997
30 Bendigo4Vic,Bendigo,2030,202,Bendigo,86.9243,88.0862,76.6947,11.391500000000008
31 Geelong4Vic,Geelong,2030,203,Geelong,171.2395,173.4132,151.4618,21.95139999999998
