occupation_name,occupation_group
"O333 Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
"O333 Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
"O333 Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
O334 Plumbers,O3 TECHNICIANS AND TRADES WORKERS
O341 Electricians,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
"O361 Animal Attendants and Trainers, and Shearers",O3 TECHNICIANS AND TRADES WORKERS
"O361 Animal Attendants and Trainers, and Shearers",O3 TECHNICIANS AND TRADES WORKERS
"O361 Animal Attendants and Trainers, and Shearers",O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O362 Horticultural Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O391 Hairdressers,O3 TECHNICIANS AND TRADES WORKERS
O392 Printing Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O392 Printing Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O392 Printing Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
"O393 Textile, Clothing and Footwear Trades Workers",O3 TECHNICIANS AND TRADES WORKERS
"O393 Textile, Clothing and Footwear Trades Workers",O3 TECHNICIANS AND TRADES WORKERS
"O393 Textile, Clothing and Footwear Trades Workers",O3 TECHNICIANS AND TRADES WORKERS
O394 Wood Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O394 Wood Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O399 Miscellaneous Technicians and Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
