occupation_full,occupation_code,occupation_name,occupation_group
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O4 COMMUNITY AND PERSONAL SERVICE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O5 CLERICAL AND ADMINISTRATIVE WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O6 SALES WORKERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O7 MACHINERY OPERATORS AND DRIVERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
,,,O8 LABOURERS
