occupation_full,occupation_code,occupation_name,occupation_group
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O2 PROFESSIONALS
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O2 PROFESSIONALS
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O2 PROFESSIONALS
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O2 PROFESSIONALS
O253 Medical Practitioners,O253,Medical Practitioners,O2 PROFESSIONALS
O253 Medical Practitioners,O253,Medical Practitioners,O2 PROFESSIONALS
O253 Medical Practitioners,O253,Medical Practitioners,O2 PROFESSIONALS
O253 Medical Practitioners,O253,Medical Practitioners,O2 PROFESSIONALS
O253 Medical Practitioners,O253,Medical Practitioners,O2 PROFESSIONALS
O253 Medical Practitioners,O253,Medical Practitioners,O2 PROFESSIONALS
O254 Midwifery and Nursing Professionals,O254,Midwifery and Nursing Professionals,O2 PROFESSIONALS
O254 Midwifery and Nursing Professionals,O254,Midwifery and Nursing Professionals,O2 PROFESSIONALS
O254 Midwifery and Nursing Professionals,O254,Midwifery and Nursing Professionals,O2 PROFESSIONALS
O254 Midwifery and Nursing Professionals,O254,Midwifery and Nursing Professionals,O2 PROFESSIONALS
"O261 Business and Systems Analysts, and Programmers",O261,"Business and Systems Analysts, and Programmers",O2 PROFESSIONALS
"O261 Business and Systems Analysts, and Programmers",O261,"Business and Systems Analysts, and Programmers",O2 PROFESSIONALS
"O261 Business and Systems Analysts, and Programmers",O261,"Business and Systems Analysts, and Programmers",O2 PROFESSIONALS
"O262 Database and Systems Administrators, and ICT Security Specialists",O262,"Database and Systems Administrators, and ICT Security Specialists",O2 PROFESSIONALS
O263 ICT Network and Support Professionals,O263,ICT Network and Support Professionals,O2 PROFESSIONALS
O263 ICT Network and Support Professionals,O263,ICT Network and Support Professionals,O2 PROFESSIONALS
O263 ICT Network and Support Professionals,O263,ICT Network and Support Professionals,O2 PROFESSIONALS
O271 Legal Professionals,O271,Legal Professionals,O2 PROFESSIONALS
O271 Legal Professionals,O271,Legal Professionals,O2 PROFESSIONALS
O271 Legal Professionals,O271,Legal Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O272,Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O272,Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O272,Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O272,Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O272,Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O272,Social and Welfare Professionals,O2 PROFESSIONALS
"O311 Agricultural, Medical and Science Technicians",O311,"Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
"O311 Agricultural, Medical and Science Technicians",O311,"Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
"O311 Agricultural, Medical and Science Technicians",O311,"Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
"O311 Agricultural, Medical and Science Technicians",O311,"Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O313 ICT and Telecommunications Technicians,O313,ICT and Telecommunications Technicians,O3 TECHNICIANS AND TRADES WORKERS
O313 ICT and Telecommunications Technicians,O313,ICT and Telecommunications Technicians,O3 TECHNICIANS AND TRADES WORKERS
O321 Automotive Electricians and Mechanics,O321,Automotive Electricians and Mechanics,O3 TECHNICIANS AND TRADES WORKERS
O321 Automotive Electricians and Mechanics,O321,Automotive Electricians and Mechanics,O3 TECHNICIANS AND TRADES WORKERS
O322 Fabrication Engineering Trades Workers,O322,Fabrication Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O322 Fabrication Engineering Trades Workers,O322,Fabrication Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O322 Fabrication Engineering Trades Workers,O322,Fabrication Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O323,Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O323,Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O323,Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O323,Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
"O324 Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O3 TECHNICIANS AND TRADES WORKERS
"O324 Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O3 TECHNICIANS AND TRADES WORKERS
"O324 Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O3 TECHNICIANS AND TRADES WORKERS
"O331 Bricklayers, and Carpenters and Joiners",O331,"Bricklayers, and Carpenters and Joiners",O3 TECHNICIANS AND TRADES WORKERS
"O331 Bricklayers, and Carpenters and Joiners",O331,"Bricklayers, and Carpenters and Joiners",O3 TECHNICIANS AND TRADES WORKERS
O332 Floor Finishers and Painting Trades Workers,O332,Floor Finishers and Painting Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O332 Floor Finishers and Painting Trades Workers,O332,Floor Finishers and Painting Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
"O333 Glaziers, Plasterers and Tilers",O333,"Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
"O333 Glaziers, Plasterers and Tilers",O333,"Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
"O333 Glaziers, Plasterers and Tilers",O333,"Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
"O333 Glaziers, Plasterers and Tilers",O333,"Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
O334 Plumbers,O334,Plumbers,O3 TECHNICIANS AND TRADES WORKERS
O341 Electricians,O341,Electricians,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O342,Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O342,Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O342,Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O342 Electronics and Telecommunications Trades Workers,O342,Electronics and Telecommunications Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O351,Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O351,Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O351,Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O351 Food Trades Workers,O351,Food Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
